uuid,kind,planned_duration,started_at,finished_at,cancelled_at,status,interruptions,elapsed_min,annotations
a1b2c3d4e5f6g7h8,pomodoro,25,2026-04-20T09:15:00+02:00,2026-04-20T09:40:00+02:00,,finished,0,25,
b2c3d4e5f6g7h8i9,break,5,2026-04-20T09:45:00+02:00,2026-04-20T09:50:00+02:00,,finished,0,5,
c3d4e5f6g7h8i9j0,pomodoro,25,2026-04-20T09:55:00+02:00,2026-04-20T10:20:00+02:00,,finished,2,25,"[{""body"":""slack notification"",""created_at"":""2026-04-20T10:05:00+02:00""}]"
d4e5f6g7h8i9j0k1,break,5,2026-04-20T10:25:00+02:00,2026-04-20T10:30:00+02:00,,finished,0,5,
e5f6g7h8i9j0k1l2,pomodoro,25,2026-04-20T10:35:00+02:00,2026-04-20T11:00:00+02:00,,finished,1,25,
f6g7h8i9j0k1l2m3,break,15,2026-04-20T11:05:00+02:00,2026-04-20T11:20:00+02:00,,finished,0,15,
g7h8i9j0k1l2m3n4,pomodoro,25,2026-04-20T11:25:00+02:00,2026-04-20T11:50:00+02:00,,finished,0,25,
h8i9j0k1l2m3n4o5,break,5,2026-04-20T11:55:00+02:00,2026-04-20T12:00:00+02:00,,finished,0,5,
i9j0k1l2m3n4o5p6,pomodoro,25,2026-04-21T09:00:00+02:00,,2026-04-21T09:15:00+02:00,cancelled,3,15,"[{""body"":""urgent client call"",""created_at"":""2026-04-21T09:05:00+02:00""},{""body"":""pager alert"",""created_at"":""2026-04-21T09:10:00+02:00""},{""body"":""team standup"",""created_at"":""2026-04-21T09:14:00+02:00""}]"
j0k1l2m3n4o5p6q7,pomodoro,25,2026-04-21T10:00:00+02:00,2026-04-21T10:25:00+02:00,,finished,1,25,
k1l2m3n4o5p6q7r8,break,5,2026-04-21T10:30:00+02:00,2026-04-21T10:35:00+02:00,,finished,0,5,
l2m3n4o5p6q7r8s9,pomodoro,25,2026-04-21T10:40:00+02:00,2026-04-21T11:05:00+02:00,,finished,0,25,"[{""body"":""deep focus session"",""created_at"":""2026-04-21T10:50:00+02:00""}]"
m3n4o5p6q7r8s9t0,break,5,2026-04-21T11:10:00+02:00,2026-04-21T11:15:00+02:00,,finished,0,5,
n4o5p6q7r8s9t0u1,pomodoro,25,2026-04-22T08:30:00+02:00,2026-04-22T08:55:00+02:00,,finished,1,25,
o5p6q7r8s9t0u1v2,break,5,2026-04-22T09:00:00+02:00,2026-04-22T09:05:00+02:00,,finished,0,5,
p6q7r8s9t0u1v2w3,pomodoro,25,2026-04-22T09:10:00+02:00,2026-04-22T09:35:00+02:00,,finished,1,25,"[{""body"":""code review ping"",""created_at"":""2026-04-22T09:20:00+02:00""}]"
q7r8s9t0u1v2w3x4,break,5,2026-04-22T09:40:00+02:00,2026-04-22T09:45:00+02:00,,finished,0,5,
r8s9t0u1v2w3x4y5,pomodoro,25,2026-04-22T09:50:00+02:00,2026-04-22T10:15:00+02:00,,finished,2,25,
s9t0u1v2w3x4y5z6,break,5,2026-04-22T10:20:00+02:00,2026-04-22T10:25:00+02:00,,finished,0,5,
t0u1v2w3x4y5z6a7,pomodoro,25,2026-04-22T10:30:00+02:00,2026-04-22T10:55:00+02:00,,finished,1,25,
u1v2w3x4y5z6a7b8,break,5,2026-04-22T11:00:00+02:00,2026-04-22T11:05:00+02:00,,finished,0,5,
v2w3x4y5z6a7b8c9,pomodoro,25,2026-04-22T14:00:00+02:00,2026-04-22T14:25:00+02:00,,finished,0,25,
w3x4y5z6a7b8c9d0,pomodoro,25,2026-04-23T10:00:00+02:00,2026-04-23T10:25:00+02:00,,finished,0,25,"[{""body"":""code review"",""created_at"":""2026-04-23T10:15:00+02:00""}]"
x4y5z6a7b8c9d0e1,break,5,2026-04-23T10:30:00+02:00,2026-04-23T10:35:00+02:00,,finished,0,5,
y5z6a7b8c9d0e1f2,pomodoro,25,2026-04-23T10:40:00+02:00,2026-04-23T11:05:00+02:00,,finished,1,25,
z6a7b8c9d0e1f2g3,break,15,2026-04-23T11:10:00+02:00,2026-04-23T11:25:00+02:00,,finished,0,15,
a7b8c9d0e1f2g3h4,pomodoro,25,2026-04-24T09:00:00+02:00,2026-04-24T09:25:00+02:00,,finished,0,25,
b8c9d0e1f2g3h4i5,break,5,2026-04-24T09:30:00+02:00,2026-04-24T09:35:00+02:00,,finished,0,5,
c9d0e1f2g3h4i5j6,pomodoro,25,2026-04-24T09:40:00+02:00,2026-04-24T10:05:00+02:00,,finished,0,25,"[{""body"":""writing specs"",""created_at"":""2026-04-24T09:50:00+02:00""}]"
d0e1f2g3h4i5j6k7,break,5,2026-04-24T10:10:00+02:00,2026-04-24T10:15:00+02:00,,finished,0,5,
e1f2g3h4i5j6k7l8,pomodoro,25,2026-04-24T10:20:00+02:00,2026-04-24T10:45:00+02:00,,finished,0,25,"[{""body"":""implementation done"",""created_at"":""2026-04-24T10:40:00+02:00""}]"
f2g3h4i5j6k7l8m9,break,5,2026-04-24T10:50:00+02:00,2026-04-24T10:55:00+02:00,,finished,0,5,
g3h4i5j6k7l8m9n0,pomodoro,25,2026-04-24T11:00:00+02:00,2026-04-24T11:25:00+02:00,,finished,1,25,
